Date,Item,Price,Cost,Day_Sale
1/1/2022,504,8,6.56,5
1/1/2022,104,16,13.28,6
1/1/2022,212,146,119.72,1
1/1/2022,302,41,36.9,5
1/1/2022,412,63,56.7,5
1/1/2022,502,8,6.8,5
1/1/2022,104,16,13.28,6
1/1/2022,217,118,103.84,4
1/1/2022,313,44,37.4,1
1/1/2022,408,57,48.45,3
1/1/2022,512,10,8.6,2
1/1/2022,105,20,18,3
1/1/2022,211,191,158.53,2
1/1/2022,309,20,17,4
1/1/2022,412,63,56.7,5
1/1/2022,511,5,4.45,4
1/1/2022,107,15,12.15,5
1/1/2022,214,140,113.4,4
1/1/2022,310,28,24.08,2
1/1/2022,413,43,35.69,3
1/1/2022,512,10,8.6,2
1/1/2022,104,16,13.28,6
1/1/2022,205,109,87.2,1
1/1/2022,305,42,34.02,2
1/1/2022,414,31,26.35,3
1/1/2022,502,8,6.8,5
1/1/2022,105,20,18,3
1/1/2022,218,194,168.78,2
1/1/2022,303,36,32.04,5
1/1/2022,408,57,48.45,3
1/1/2022,500,18,15.84,4
1/1/2022,107,15,12.15,5
1/1/2022,203,184,161.92,3
1/1/2022,303,36,32.04,5
1/1/2022,403,43,34.4,4
1/1/2022,510,17,14.62,3
1/1/2022,107,15,12.15,5
1/1/2022,213,151,123.82,6
1/1/2022,302,41,36.9,5
1/1/2022,406,57,49.02,4
1/1/2022,501,8,7.12,6
1/1/2022,100,0,0,0
1/1/2022,203,184,161.92,3
1/1/2022,304,31,25.42,2
1/1/2022,400,55,46.2,3
1/1/2022,502,8,6.8,5
1/2/2022,105,20,18,5
1/2/2022,209,144,119.52,2
1/2/2022,300,45,40.5,8
1/2/2022,408,57,48.45,2
1/2/2022,502,8,6.8,5
1/2/2022,103,16,13.76,2
1/2/2022,212,146,119.72,3
1/2/2022,300,45,40.5,8
1/2/2022,405,51,43.35,3
1/2/2022,503,16,13.92,4
1/2/2022,106,15,12.15,5
1/2/2022,209,144,119.52,2
1/2/2022,304,31,25.42,3
1/2/2022,409,38,30.78,5
1/2/2022,504,8,6.56,6
1/2/2022,101,15,13.05,6
1/2/2022,215,174,146.16,3
1/2/2022,301,26,21.32,4
1/2/2022,410,50,45,3
1/2/2022,502,8,6.8,5
1/2/2022,106,15,12.15,5
1/2/2022,207,123,105.78,2
1/2/2022,300,45,40.5,8
1/2/2022,406,57,49.02,2
1/2/2022,510,17,14.62,2
1/2/2022,105,20,18,5
1/2/2022,202,162,136.08,3
1/2/2022,313,44,37.4,2
1/2/2022,407,48,42.24,4
1/2/2022,503,16,13.92,4
1/2/2022,108,12,9.84,2
1/2/2022,216,144,115.2,2
1/2/2022,306,49,39.69,4
1/2/2022,401,44,39.6,2
1/2/2022,504,8,6.56,6
1/2/2022,104,16,13.28,4
1/2/2022,202,162,136.08,3
1/2/2022,310,28,24.08,4
1/2/2022,409,38,30.78,5
1/2/2022,507,8,6.88,5
1/2/2022,101,15,13.05,6
1/2/2022,217,118,103.84,1
1/2/2022,311,28,23.8,3
1/2/2022,407,48,42.24,4
1/2/2022,502,8,6.8,5
1/2/2022,103,16,13.76,2
1/2/2022,213,151,123.82,4
1/2/2022,304,31,25.42,3
1/2/2022,406,57,49.02,2
1/2/2022,507,8,6.88,5
1/2/2022,106,15,12.15,5
1/2/2022,204,198,174.24,2
1/2/2022,309,20,17,1
1/2/2022,412,63,56.7,4
1/2/2022,503,16,13.92,4
1/2/2022,100,0,0,0
1/2/2022,201,197,157.6,3
1/2/2022,306,49,39.69,4
1/2/2022,414,31,26.35,2
1/2/2022,508,10,8,4
1/2/2022,109,16,13.92,5
1/2/2022,212,146,119.72,3
1/2/2022,307,30,25.5,2
1/2/2022,403,43,34.4,4
1/2/2022,500,18,15.84,5
1/2/2022,109,16,13.92,5
1/2/2022,212,146,119.72,3
1/2/2022,303,36,32.04,3
1/2/2022,404,60,48,3
1/2/2022,508,10,8,4
1/2/2022,102,17,13.94,5
1/2/2022,214,140,113.4,3
1/2/2022,306,49,39.69,4
1/2/2022,405,51,43.35,3
1/2/2022,505,9,7.38,5
1/2/2022,102,17,13.94,5
1/2/2022,214,140,113.4,3
1/2/2022,306,49,39.69,4
1/2/2022,409,38,30.78,5
1/2/2022,505,9,7.38,5
1/2/2022,104,16,13.28,4
1/2/2022,208,161,133.63,3
1/2/2022,300,45,40.5,8
1/2/2022,414,31,26.35,2
1/2/2022,505,9,7.38,5
1/2/2022,108,12,9.84,2
1/2/2022,206,181,146.61,1
1/2/2022,304,31,25.42,3
1/2/2022,412,63,56.7,4
1/2/2022,502,8,6.8,5
1/2/2022,109,16,13.92,5
1/2/2022,213,151,123.82,4
1/2/2022,307,30,25.5,2
1/2/2022,411,58,49.3,3
1/2/2022,504,8,6.56,6
1/2/2022,102,17,13.94,5
1/2/2022,218,194,168.78,1
1/2/2022,311,28,23.8,3
1/2/2022,401,44,39.6,2
1/2/2022,506,6,5.4,2
1/2/2022,104,16,13.28,4
1/2/2022,201,197,157.6,3
1/2/2022,305,42,34.02,1
1/2/2022,407,48,42.24,4
1/2/2022,505,9,7.38,5
1/2/2022,109,16,13.92,5
1/2/2022,208,161,133.63,3
1/2/2022,303,36,32.04,3
1/2/2022,409,38,30.78,5
1/2/2022,506,6,5.4,2
1/2/2022,105,20,18,5
1/2/2022,203,184,161.92,1
1/2/2022,301,26,21.32,4
1/2/2022,402,49,41.65,1
1/2/2022,500,18,15.84,5
1/2/2022,109,16,13.92,5
1/2/2022,205,109,87.2,1
1/2/2022,300,45,40.5,8
1/2/2022,411,58,49.3,3
1/2/2022,508,10,8,4
1/2/2022,101,15,13.05,6
1/2/2022,207,123,105.78,2
1/2/2022,313,44,37.4,2
1/2/2022,412,63,56.7,4
1/2/2022,500,18,15.84,5
1/2/2022,105,20,18,5
1/2/2022,201,197,157.6,3
1/2/2022,302,41,36.9,3
1/2/2022,400,55,46.2,2
1/2/2022,502,8,6.8,5
1/2/2022,100,0,0,0
1/2/2022,213,151,123.82,4
1/2/2022,301,26,21.32,4
1/2/2022,412,63,56.7,4
1/2/2022,504,8,6.56,6
1/2/2022,101,15,13.05,6
1/2/2022,208,161,133.63,3
1/2/2022,311,28,23.8,3
1/2/2022,409,38,30.78,5
1/2/2022,504,8,6.56,6
1/2/2022,101,15,13.05,6
1/2/2022,202,162,136.08,3
1/2/2022,303,36,32.04,3
1/2/2022,403,43,34.4,4
1/2/2022,509,10,8.8,1
1/2/2022,100,0,0,0
1/2/2022,213,151,123.82,4
1/2/2022,300,45,40.5,8
1/2/2022,404,60,48,3
1/2/2022,507,8,6.88,5
1/2/2022,107,15,12.15,1
1/2/2022,215,174,146.16,3
1/2/2022,312,46,40.48,2
1/2/2022,404,60,48,3
1/2/2022,503,16,13.92,4
1/2/2022,106,15,12.15,5
1/2/2022,216,144,115.2,2
1/2/2022,300,45,40.5,8
1/2/2022,410,50,45,3
1/2/2022,507,8,6.88,5
1/2/2022,106,15,12.15,5
1/2/2022,200,176,144.32,2
1/2/2022,310,28,24.08,4
1/2/2022,403,43,34.4,4
1/2/2022,500,18,15.84,5
1/2/2022,102,17,13.94,5
1/2/2022,204,198,174.24,2
1/2/2022,310,28,24.08,4
1/2/2022,407,48,42.24,4
1/2/2022,500,18,15.84,5
1/2/2022,104,16,13.28,4
1/2/2022,210,128,115.2,3
1/2/2022,300,45,40.5,8
1/2/2022,408,57,48.45,2
1/2/2022,511,5,4.45,1
1/2/2022,101,15,13.05,6
1/2/2022,210,128,115.2,3
1/2/2022,302,41,36.9,3
1/2/2022,405,51,43.35,3
1/2/2022,505,9,7.38,5
1/2/2022,100,0,0,0
1/2/2022,214,140,113.4,3
1/2/2022,301,26,21.32,4
1/2/2022,403,43,34.4,4
1/2/2022,510,17,14.62,2
1/2/2022,100,0,0,0
1/2/2022,200,176,144.32,2
1/2/2022,310,28,24.08,4
1/2/2022,411,58,49.3,3
1/2/2022,504,8,6.56,6
1/2/2022,105,20,18,5
1/2/2022,215,174,146.16,3
1/2/2022,302,41,36.9,3
1/2/2022,400,55,46.2,2
1/2/2022,508,10,8,4
1/2/2022,102,17,13.94,5
1/2/2022,210,128,115.2,3
1/2/2022,312,46,40.48,2
1/2/2022,410,50,45,3
1/2/2022,507,8,6.88,5
1/3/2022,109,16,13.92,4
1/3/2022,209,144,119.52,2
1/3/2022,301,26,21.32,3
1/3/2022,412,63,56.7,4
1/3/2022,504,8,6.56,5
1/3/2022,105,20,18,4
1/3/2022,211,191,158.53,5
1/3/2022,308,34,27.2,3
1/3/2022,409,38,30.78,4
1/3/2022,501,8,7.12,7
1/3/2022,100,0,0,0
1/3/2022,218,194,168.78,1
1/3/2022,312,46,40.48,5
1/3/2022,414,31,26.35,3
1/3/2022,505,9,7.38,2
1/3/2022,100,0,0,0
1/3/2022,217,118,103.84,3
1/3/2022,302,41,36.9,3
1/3/2022,402,49,41.65,2
1/3/2022,504,8,6.56,5
1/3/2022,106,15,12.15,5
1/3/2022,207,123,105.78,6
1/3/2022,312,46,40.48,5
1/3/2022,408,57,48.45,5
1/3/2022,510,17,14.62,2
1/3/2022,102,17,13.94,7
1/3/2022,211,191,158.53,5
1/3/2022,307,30,25.5,3
1/3/2022,403,43,34.4,1
1/3/2022,511,5,4.45,6
1/3/2022,100,0,0,0
1/3/2022,211,191,158.53,5
1/3/2022,308,34,27.2,3
1/3/2022,407,48,42.24,3
1/3/2022,511,5,4.45,6
1/3/2022,102,17,13.94,7
1/3/2022,216,144,115.2,3
1/3/2022,310,28,24.08,3
1/3/2022,405,51,43.35,4
1/3/2022,502,8,6.8,3
1/3/2022,104,16,13.28,1
1/3/2022,216,144,115.2,3
1/3/2022,313,44,37.4,3
1/3/2022,408,57,48.45,5
1/3/2022,506,6,5.4,4
1/3/2022,106,15,12.15,5
1/3/2022,213,151,123.82,2
1/3/2022,310,28,24.08,3
1/3/2022,412,63,56.7,4
1/3/2022,504,8,6.56,5
1/3/2022,105,20,18,4
1/3/2022,207,123,105.78,6
1/3/2022,305,42,34.02,3
1/3/2022,409,38,30.78,4
1/3/2022,502,8,6.8,3
1/3/2022,100,0,0,0
1/3/2022,207,123,105.78,6
1/3/2022,312,46,40.48,5
1/3/2022,401,44,39.6,4
1/3/2022,504,8,6.56,5
1/3/2022,107,15,12.15,4
1/3/2022,210,128,115.2,2
1/3/2022,307,30,25.5,3
1/3/2022,412,63,56.7,4
1/3/2022,509,10,8.8,4
1/3/2022,107,15,12.15,4
1/3/2022,208,161,133.63,2
1/3/2022,311,28,23.8,2
1/3/2022,409,38,30.78,4
1/3/2022,502,8,6.8,3
1/3/2022,107,15,12.15,4
1/3/2022,212,146,119.72,1
1/3/2022,313,44,37.4,3
1/3/2022,401,44,39.6,4
1/3/2022,509,10,8.8,4
1/3/2022,106,15,12.15,5
1/3/2022,207,123,105.78,6
1/3/2022,310,28,24.08,3
1/3/2022,410,50,45,4
1/3/2022,501,8,7.12,7
1/3/2022,102,17,13.94,7
1/3/2022,202,162,136.08,3
1/3/2022,306,49,39.69,2
1/3/2022,411,58,49.3,1
1/3/2022,511,5,4.45,6
1/3/2022,105,20,18,4
1/3/2022,206,181,146.61,1
1/3/2022,306,49,39.69,2
1/3/2022,412,63,56.7,4
1/3/2022,508,10,8,1
1/3/2022,106,15,12.15,5
1/3/2022,202,162,136.08,3
1/3/2022,309,20,17,4
1/3/2022,407,48,42.24,3
1/3/2022,501,8,7.12,7
1/3/2022,103,16,13.76,2
1/3/2022,205,109,87.2,1
1/3/2022,312,46,40.48,5
1/3/2022,410,50,45,4
1/3/2022,512,10,8.6,2
1/3/2022,108,12,9.84,3
1/3/2022,204,198,174.24,1
1/3/2022,303,36,32.04,3
1/3/2022,406,57,49.02,3
1/3/2022,510,17,14.62,2
1/3/2022,106,15,12.15,5
1/3/2022,209,144,119.52,2
1/3/2022,311,28,23.8,2
1/3/2022,405,51,43.35,4
1/3/2022,504,8,6.56,5
1/3/2022,102,17,13.94,7
1/3/2022,211,191,158.53,5
1/3/2022,309,20,17,4
1/3/2022,408,57,48.45,5
1/3/2022,501,8,7.12,7
1/3/2022,105,20,18,4
1/3/2022,213,151,123.82,2
1/3/2022,304,31,25.42,2
1/3/2022,401,44,39.6,4
1/3/2022,511,5,4.45,6
1/3/2022,109,16,13.92,4
1/3/2022,216,144,115.2,3
1/3/2022,307,30,25.5,3
1/3/2022,402,49,41.65,2
1/3/2022,511,5,4.45,6
1/3/2022,102,17,13.94,7
1/3/2022,214,140,113.4,2
1/3/2022,313,44,37.4,3
1/3/2022,401,44,39.6,4
1/3/2022,506,6,5.4,4
1/3/2022,107,15,12.15,4
1/3/2022,217,118,103.84,3
1/3/2022,305,42,34.02,3
1/3/2022,406,57,49.02,3
1/3/2022,503,16,13.92,2
1/3/2022,108,12,9.84,3
1/3/2022,207,123,105.78,6
1/3/2022,312,46,40.48,5
1/3/2022,404,60,48,1
1/3/2022,501,8,7.12,7
1/3/2022,101,15,13.05,4
1/3/2022,211,191,158.53,5
1/3/2022,308,34,27.2,3
1/3/2022,414,31,26.35,3
1/3/2022,501,8,7.12,7
1/3/2022,103,16,13.76,2
1/3/2022,217,118,103.84,3
1/3/2022,309,20,17,4
1/3/2022,408,57,48.45,5
1/3/2022,506,6,5.4,4
1/3/2022,100,0,0,0
1/3/2022,210,128,115.2,2
1/3/2022,301,26,21.32,3
1/3/2022,405,51,43.35,4
1/3/2022,501,8,7.12,7
1/3/2022,101,15,13.05,4
1/3/2022,208,161,133.63,2
1/3/2022,300,45,40.5,1
1/3/2022,413,43,35.69,1
1/3/2022,503,16,13.92,2
1/3/2022,108,12,9.84,3
1/3/2022,215,174,146.16,2
1/3/2022,309,20,17,4
1/3/2022,406,57,49.02,3
1/3/2022,506,6,5.4,4
1/3/2022,101,15,13.05,4
1/3/2022,200,176,144.32,1
1/3/2022,302,41,36.9,3
1/3/2022,410,50,45,4
1/3/2022,509,10,8.8,4
1/3/2022,100,0,0,0
1/3/2022,201,197,157.6,1
1/3/2022,304,31,25.42,2
1/3/2022,409,38,30.78,4
1/3/2022,500,18,15.84,2
1/3/2022,109,16,13.92,4
1/3/2022,215,174,146.16,2
1/3/2022,303,36,32.04,3
1/3/2022,414,31,26.35,3
1/3/2022,512,10,8.6,2
1/3/2022,102,17,13.94,7
1/3/2022,202,162,136.08,3
1/3/2022,303,36,32.04,3
1/3/2022,407,48,42.24,3
1/3/2022,505,9,7.38,2
1/3/2022,102,17,13.94,7
1/3/2022,203,184,161.92,1
1/3/2022,301,26,21.32,3
1/3/2022,405,51,43.35,4
1/3/2022,500,18,15.84,2
1/3/2022,109,16,13.92,4
1/3/2022,214,140,113.4,2
1/3/2022,302,41,36.9,3
1/3/2022,410,50,45,4
1/3/2022,509,10,8.8,4
1/3/2022,101,15,13.05,4
1/3/2022,207,123,105.78,6
1/3/2022,305,42,34.02,3
1/3/2022,408,57,48.45,5
1/3/2022,511,5,4.45,6
1/4/2022,108,12,9.84,3
1/4/2022,211,191,158.53,3
1/4/2022,308,34,27.2,4
1/4/2022,413,43,35.69,4
1/4/2022,503,16,13.92,4
1/4/2022,103,16,13.76,4
1/4/2022,206,181,146.61,2
1/4/2022,311,28,23.8,6
1/4/2022,402,49,41.65,3
1/4/2022,510,17,14.62,5
1/4/2022,102,17,13.94,4
1/4/2022,218,194,168.78,4
1/4/2022,306,49,39.69,3
1/4/2022,406,57,49.02,4
1/4/2022,502,8,6.8,3
1/4/2022,105,20,18,6
1/4/2022,204,198,174.24,2
1/4/2022,302,41,36.9,2
1/4/2022,407,48,42.24,5
1/4/2022,506,6,5.4,6
1/4/2022,103,16,13.76,4
1/4/2022,218,194,168.78,4
1/4/2022,300,45,40.5,3
1/4/2022,401,44,39.6,1
1/4/2022,503,16,13.92,4
1/4/2022,100,0,0,0
1/4/2022,205,109,87.2,6
1/4/2022,307,30,25.5,3
1/4/2022,407,48,42.24,5
1/4/2022,501,8,7.12,3
1/4/2022,109,16,13.92,3
1/4/2022,209,144,119.52,2
1/4/2022,303,36,32.04,2
1/4/2022,412,63,56.7,2
1/4/2022,504,8,6.56,3
1/4/2022,104,16,13.28,7
1/4/2022,207,123,105.78,4
1/4/2022,309,20,17,4
1/4/2022,409,38,30.78,1
1/4/2022,506,6,5.4,6
1/4/2022,103,16,13.76,4
1/4/2022,205,109,87.2,6
1/4/2022,303,36,32.04,2
1/4/2022,408,57,48.45,2
1/4/2022,506,6,5.4,6
1/4/2022,106,15,12.15,3
1/4/2022,207,123,105.78,4
1/4/2022,312,46,40.48,3
1/4/2022,406,57,49.02,4
1/4/2022,508,10,8,3
1/4/2022,103,16,13.76,4
1/4/2022,217,118,103.84,1
1/4/2022,311,28,23.8,6
1/4/2022,405,51,43.35,4
1/4/2022,501,8,7.12,3
1/4/2022,100,0,0,0
1/4/2022,214,140,113.4,2
1/4/2022,307,30,25.5,3
1/4/2022,410,50,45,4
1/4/2022,507,8,6.88,4
1/4/2022,104,16,13.28,7
1/4/2022,209,144,119.52,2
1/4/2022,304,31,25.42,2
1/4/2022,402,49,41.65,3
1/4/2022,501,8,7.12,3
1/4/2022,100,0,0,0
1/4/2022,202,162,136.08,1
1/4/2022,301,26,21.32,1
1/4/2022,402,49,41.65,3
1/4/2022,507,8,6.88,4
1/4/2022,105,20,18,6
1/4/2022,218,194,168.78,4
1/4/2022,309,20,17,4
1/4/2022,407,48,42.24,5
1/4/2022,506,6,5.4,6
1/4/2022,102,17,13.94,4
1/4/2022,203,184,161.92,4
1/4/2022,310,28,24.08,4
1/4/2022,410,50,45,4
1/4/2022,512,10,8.6,3
1/4/2022,106,15,12.15,3
1/4/2022,216,144,115.2,1
1/4/2022,307,30,25.5,3
1/4/2022,412,63,56.7,2
1/4/2022,507,8,6.88,4
1/4/2022,108,12,9.84,3
1/4/2022,215,174,146.16,1
1/4/2022,311,28,23.8,6
1/4/2022,411,58,49.3,1
1/4/2022,505,9,7.38,2
1/4/2022,100,0,0,0
1/4/2022,203,184,161.92,4
1/4/2022,311,28,23.8,6
1/4/2022,410,50,45,4
1/4/2022,503,16,13.92,4
1/4/2022,105,20,18,6
1/4/2022,205,109,87.2,6
1/4/2022,309,20,17,4
1/4/2022,413,43,35.69,4
1/4/2022,512,10,8.6,3
1/4/2022,104,16,13.28,7
1/4/2022,207,123,105.78,4
1/4/2022,300,45,40.5,3
1/4/2022,400,55,46.2,4
1/4/2022,503,16,13.92,4
1/4/2022,106,15,12.15,3
1/4/2022,205,109,87.2,6
1/4/2022,302,41,36.9,2
1/4/2022,404,60,48,2
1/4/2022,504,8,6.56,3
1/4/2022,107,15,12.15,4
1/4/2022,218,194,168.78,4
1/4/2022,304,31,25.42,2
1/4/2022,404,60,48,2
1/4/2022,505,9,7.38,2
1/4/2022,108,12,9.84,3
1/4/2022,200,176,144.32,2
1/4/2022,300,45,40.5,3
1/4/2022,414,31,26.35,1
1/4/2022,509,10,8.8,1
1/4/2022,107,15,12.15,4
1/4/2022,204,198,174.24,2
1/4/2022,312,46,40.48,3
1/4/2022,400,55,46.2,4
1/4/2022,508,10,8,3
1/4/2022,105,20,18,6
1/4/2022,200,176,144.32,2
1/4/2022,311,28,23.8,6
1/4/2022,403,43,34.4,2
1/4/2022,507,8,6.88,4
1/4/2022,105,20,18,6
1/4/2022,201,197,157.6,2
1/4/2022,313,44,37.4,2
1/4/2022,406,57,49.02,4
1/4/2022,504,8,6.56,3
1/4/2022,102,17,13.94,4
1/4/2022,214,140,113.4,2
1/4/2022,313,44,37.4,2
1/4/2022,405,51,43.35,4
1/4/2022,510,17,14.62,5
1/4/2022,104,16,13.28,7
1/4/2022,201,197,157.6,2
1/4/2022,310,28,24.08,4
1/4/2022,405,51,43.35,4
1/4/2022,500,18,15.84,3
1/4/2022,102,17,13.94,4
1/4/2022,210,128,115.2,2
1/4/2022,308,34,27.2,4
1/4/2022,400,55,46.2,4
1/4/2022,500,18,15.84,3
1/4/2022,104,16,13.28,7
1/4/2022,205,109,87.2,6
1/4/2022,311,28,23.8,6
1/4/2022,407,48,42.24,5
1/4/2022,510,17,14.62,5
1/4/2022,107,15,12.15,4
1/4/2022,206,181,146.61,2
1/4/2022,309,20,17,4
1/4/2022,408,57,48.45,2
1/4/2022,502,8,6.8,3
1/4/2022,104,16,13.28,7
1/4/2022,207,123,105.78,4
1/4/2022,310,28,24.08,4
1/4/2022,400,55,46.2,4
1/4/2022,508,10,8,3
1/4/2022,100,0,0,0
1/4/2022,205,109,87.2,6
1/4/2022,305,42,34.02,1
1/4/2022,413,43,35.69,4
1/4/2022,506,6,5.4,6
1/4/2022,109,16,13.92,3
1/4/2022,208,161,133.63,1
1/4/2022,306,49,39.69,3
1/4/2022,407,48,42.24,5
1/4/2022,512,10,8.6,3
1/4/2022,109,16,13.92,3
1/4/2022,203,184,161.92,4
1/4/2022,308,34,27.2,4
1/4/2022,413,43,35.69,4
1/4/2022,500,18,15.84,3
1/4/2022,104,16,13.28,7
1/4/2022,203,184,161.92,4
1/4/2022,312,46,40.48,3
1/4/2022,410,50,45,4
1/4/2022,510,17,14.62,5
1/4/2022,100,0,0,0
1/4/2022,211,191,158.53,3
1/4/2022,310,28,24.08,4
1/4/2022,403,43,34.4,2
1/4/2022,502,8,6.8,3
1/4/2022,107,15,12.15,4
1/4/2022,211,191,158.53,3
1/4/2022,306,49,39.69,3
1/4/2022,405,51,43.35,4
1/4/2022,506,6,5.4,6
1/4/2022,105,20,18,6
1/4/2022,210,128,115.2,2
1/4/2022,308,34,27.2,4
1/4/2022,406,57,49.02,4
1/4/2022,510,17,14.62,5
1/5/2022,103,16,13.76,4
1/5/2022,210,128,115.2,1
1/5/2022,300,45,40.5,3
1/5/2022,412,63,56.7,9
1/5/2022,511,5,4.45,3
1/5/2022,104,16,13.28,8
1/5/2022,215,174,146.16,2
1/5/2022,310,28,24.08,3
1/5/2022,414,31,26.35,3
1/5/2022,510,17,14.62,4
1/5/2022,106,15,12.15,4
1/5/2022,205,109,87.2,4
1/5/2022,302,41,36.9,5
1/5/2022,408,57,48.45,2
1/5/2022,508,10,8,2
1/5/2022,100,0,0,0
1/5/2022,216,144,115.2,3
1/5/2022,313,44,37.4,2
1/5/2022,407,48,42.24,4
1/5/2022,505,9,7.38,4
1/5/2022,108,12,9.84,5
1/5/2022,211,191,158.53,2
1/5/2022,305,42,34.02,3
1/5/2022,409,38,30.78,2
1/5/2022,512,10,8.6,5
1/5/2022,103,16,13.76,4
1/5/2022,203,184,161.92,3
1/5/2022,302,41,36.9,5
1/5/2022,409,38,30.78,2
1/5/2022,508,10,8,2
